,STATE,YEAR_x,GRAD_PERCENT,TOTAL_REVENUE,LOCAL_REVENUE,STATE_REVENUE,FEDERAL_REVENUE,LOCAL_PERCENT,FED_PERCENT,STATE_PERCENT,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,INSTRUCTION_EXPENDITURE
0,ALABAMA,2010,72.0,7281058.0,2346819.0,3800128.0,1134111.0,0.32231840482523283,0.15576184120494577,0.5219197539698214,7647571.0,2308399.0,3900492.0
1,ALASKA,2010,68.0,2230338.0,506695.0,1356673.0,366970.0,0.22718305476569023,0.16453559953693117,0.6082813456973786,2371251.0,856333.0,1151630.0
2,ARIZONA,2010,78.0,8828122.0,4108728.0,3139588.0,1579806.0,0.46541359532638993,0.1789515369180444,0.3556348677555657,8812967.0,2949514.0,4223152.0
3,ARKANSAS,2010,81.0,5069272.0,604422.0,3677112.0,787738.0,0.11923250518023101,0.15539469967285244,0.7253727951469165,5520387.0,1595730.0,2521528.0
4,CALIFORNIA,2010,76.0,67356719.0,23466828.0,34173911.0,9715980.0,0.34839624536937436,0.1442466341034218,0.5073571205272038,71227111.0,20704755.0,34657275.0
5,COLORADO,2010,74.0,8793676.0,4261571.0,3817875.0,714230.0,0.4846176957167856,0.08122086826942453,0.4341614360137899,8914338.0,2807231.0,4232076.0
6,CONNECTICUT,2010,83.0,9726922.0,5669948.0,3238401.0,818573.0,0.5829128680172412,0.08415539879933241,0.3329317331834264,9542108.0,2768520.0,5242817.0
7,DELAWARE,2010,78.0,1733458.0,560452.0,992422.0,180584.0,0.323314438538459,0.1041755842945142,0.5725099771670268,1758988.0,499586.0,901200.0
8,DISTRICT_OF_COLUMBIA,2010,59.0,1195934.0,1115349.0,0.0,80585.0,0.9326175190269698,0.06738248097303029,0.0,1290048.0,425379.0,526469.0
9,DISTRICT_OF_COLUMBIA,2010,71.0,1195934.0,1115349.0,0.0,80585.0,0.9326175190269698,0.06738248097303029,0.0,1290048.0,425379.0,526469.0
10,FLORIDA,2010,67.0,26231141.0,13814456.0,8216582.0,4200103.0,0.5266433511222406,0.16011895936970488,0.3132376895080546,27267009.0,8069310.0,13869921.0
11,GEORGIA,2010,80.0,17839851.0,8501959.0,6739406.0,2598486.0,0.476571188851297,0.14565626136675694,0.3777725497819461,17834488.0,5059938.0,9841382.0
12,HAWAII,2010,,2564856.0,89156.0,2093300.0,382400.0,0.034760625937674476,0.14909219075066982,0.8161471833116557,2215458.0,697833.0,1321657.0
13,IDAHO,2010,84.0,2177999.0,502350.0,1231537.0,444112.0,0.23064748881886538,0.20390826625723887,0.5654442449238958,2098737.0,638912.0,1159932.0
14,ILLINOIS,2010,86.0,28253620.0,15747574.0,8696107.0,3809939.0,0.5573648261709473,0.13484781773096685,0.30778735609808583,28560306.0,9146295.0,14668228.0
15,INDIANA,2010,88.0,14023240.0,5202838.0,7342841.0,1477561.0,0.37101540015003664,0.10536516525424937,0.5236194345957139,11502534.0,3696608.0,5746633.0
16,IOWA,2010,83.0,5744872.0,2798622.0,2217889.0,728361.0,0.48715132382409915,0.12678454802822411,0.38606412814767677,5941449.0,1622316.0,2970150.0
17,KANSAS,2010,,5454128.0,1919437.0,2860999.0,673692.0,0.35192371722849186,0.12351965337080464,0.5245566294007035,5979429.0,1529158.0,2837948.0
18,KENTUCKY,2010,71.0,6881951.0,2159793.0,3662243.0,1059915.0,0.3138344053888207,0.15401373825532905,0.5321518563558503,7092071.0,2117063.0,3616584.0
19,LOUISIANA,2010,84.0,8091029.0,3193411.0,3348043.0,1549575.0,0.3946853978647215,0.1915176672831107,0.41379693485216773,8125021.0,2543542.0,4136550.0
20,MAINE,2010,83.0,2721365.0,1316535.0,1083913.0,320917.0,0.4837774425701808,0.11792501189660336,0.3982975455332159,2680693.0,874381.0,1421800.0
21,MARYLAND,2010,83.0,13327770.0,6778547.0,5544725.0,1004498.0,0.5086032397017656,0.07536879763081146,0.416027962667423,13205691.0,4047487.0,7147880.0
22,MASSACHUSETTS,2010,74.0,14919763.0,8083882.0,5742989.0,1092892.0,0.541823754170894,0.0732512976244998,0.3849249482046062,14857823.0,4512401.0,8479433.0
23,MICHIGAN,2010,77.0,19393461.0,7315227.0,9694417.0,2383817.0,0.3772006966678098,0.1229185961185577,0.4998807072136325,19967017.0,6228939.0,9457233.0
24,MINNESOTA,2010,75.0,10383935.0,3160080.0,5978487.0,1245368.0,0.3043239388536234,0.11993218370492496,0.5757438774414516,10564774.0,2504618.0,5676045.0
25,MISSISSIPPI,2010,81.0,4466377.0,1411315.0,2109089.0,945973.0,0.31598653673883775,0.21179873530604335,0.4722147279551189,4504257.0,1399684.0,2337184.0
26,MISSOURI,2010,82.0,9587703.0,4685077.0,3471772.0,1430854.0,0.4886547904122604,0.14923845680242703,0.3621067527853126,10139784.0,3043213.0,5237387.0
27,MONTANA,2010,86.0,1623971.0,622991.0,744931.0,256049.0,0.3836219981760758,0.15766845590222978,0.45870954592169444,1642886.0,531730.0,895727.0
28,NEBRASKA,2010,62.0,3720560.0,2069836.0,1184996.0,465728.0,0.556323779216032,0.12517685509708215,0.31849936568688586,3640199.0,927065.0,2089854.0
29,NEVADA,2010,86.0,4262471.0,1562084.0,2341891.0,358496.0,0.36647381295966586,0.08410520564245481,0.5494209813978793,4260869.0,1359161.0,2117135.0
30,NEW_HAMPSHIRE,2010,83.0,2906573.0,1660400.0,1060998.0,185175.0,0.5712569407339847,0.06370904842231728,0.3650340108436981,2856965.0,837094.0,1612216.0
31,NEW_JERSEY,2010,63.0,26676217.0,15229841.0,9059511.0,2386865.0,0.5709145715826198,0.08947539300643716,0.33961003541094303,26736651.0,8958765.0,14481471.0
32,NEW_MEXICO,2010,77.0,3638606.0,576947.0,2307843.0,753816.0,0.15856264734351563,0.2071716476035053,0.6342657050529791,3814058.0,1178045.0,1800983.0
33,NEW_YORK,2010,78.0,55453300.0,28647823.0,23111427.0,3694050.0,0.5166116894756488,0.0666155125123302,0.41677279801202094,60067253.0,14152383.0,36628097.0
34,NORTH_CAROLINA,2010,86.0,16621268.0,7242123.0,7451302.0,1927843.0,0.43571423070730825,0.11598651799609994,0.4482992512965918,14162497.0,3873929.0,7637844.0
